Graph Order,Clique Order,ISet Order,Graph ID,Graph Bitstring,Duration (s)
4,4,4,1,000001,0.000418831
5,4,4,7,0000000111,0.001469208
6,4,4,116,000000001110100,0.007149846
7,4,4,3873,000000000111100100001,0.045462674
8,4,4,255574,0000000000111110011001010110,0.741643968
9,4,4,33150642,000000000001111110011101011010110010,11.82811881
4,4,4,1,000001,0.000299104
5,4,4,7,0000000111,0.00079725
6,4,4,116,000000001110100,0.003783074
7,4,4,3873,000000000111100100001,0.022079228
8,4,4,255574,0000000000111110011001010110,0.26102261
9,4,4,33150642,000000000001111110011101011010110010,4.029209128
10,4,4,76987847440,000000001000111101100110101010101001100010000,14378.981827613
4,4,4,1,000001,0.000366045
5,4,4,7,0000000111,0.000795134
6,4,4,116,000000001110100,0.003798946
7,4,4,3873,000000000111100100001,0.021778995
8,4,4,255574,0000000000111110011001010110,0.32819954
9,4,4,33150642,000000000001111110011101011010110010,4.062410625
10,4,4,76987847440,000000001000111101100110101010101001100010000,14504.374043966
