Graph Order,Clique Order,ISet Order,Graph ID,Graph Bitstring,Duration (s)
6,3,3,-1,/,0.041655082
7,3,3,-1,/,0.171194419
8,3,3,-1,/,0.674132479
9,3,3,-1,/,2.628615419
10,3,3,-1,/,10.046902427
11,3,3,-1,/,38.125879083
12,3,3,-1,/,143.592938313
4,3,3,12,001100,0.00073339
5,3,3,236,0011101100,0.003960045
6,3,3,-1,/,0.041607797
7,3,3,-1,/,0.172164012
8,3,3,-1,/,0.677282976
9,3,3,-1,/,2.64571015
10,3,3,-1,/,10.074308273
11,3,3,-1,/,38.284085316
12,3,3,-1,/,143.644451852
4,3,3,12,001100,0.000698769
5,3,3,236,0011101100,0.003974628
6,3,3,-1,/,0.041655905
7,3,3,-1,/,0.169873765
8,3,3,-1,/,0.677058531
9,3,3,-1,/,2.636262315
10,3,3,-1,/,10.096655689
11,3,3,-1,/,38.339227641
12,3,3,-1,/,144.236641989
4,3,3,12,001100,0.000707434
5,3,3,236,0011101100,0.00395743
6,3,3,-1,/,0.042179553
7,3,3,-1,/,0.17319168
8,3,3,-1,/,0.675991915
9,3,3,-1,/,2.663439702
10,3,3,-1,/,10.239362448
11,3,3,-1,/,38.300208771
12,3,3,-1,/,144.364694419
4,3,3,12,001100,0.00070214
5,3,3,236,0011101100,0.003981816
6,3,3,-1,/,0.042030756
7,3,3,-1,/,0.170154708
8,3,3,-1,/,0.677037169
9,3,3,-1,/,2.631809835
10,3,3,-1,/,10.042952988
11,3,3,-1,/,38.526282301
12,3,3,-1,/,143.41500937
4,3,3,12,001100,0.00071146
5,3,3,236,0011101100,0.003970866
6,3,3,-1,/,0.041527999
7,3,3,-1,/,0.170713357
8,3,3,-1,/,0.680570045
9,3,3,-1,/,2.639096827
10,3,3,-1,/,10.133022574
11,3,3,-1,/,38.81596782
12,3,3,-1,/,143.049207389
4,3,3,12,001100,0.00069547
5,3,3,236,0011101100,0.003967463
6,3,3,-1,/,0.041867758
7,3,3,-1,/,0.172667773
8,3,3,-1,/,0.687958634
9,3,3,-1,/,2.624220956
10,3,3,-1,/,10.119966668
11,3,3,-1,/,38.221800162
12,3,3,-1,/,143.391978001
4,3,3,12,001100,0.0007081
5,3,3,236,0011101100,0.003952282
6,3,3,-1,/,0.042136058
7,3,3,-1,/,0.172624956
8,3,3,-1,/,0.67545747
9,3,3,-1,/,2.654332441
10,3,3,-1,/,10.153847028
11,3,3,-1,/,38.144274403
12,3,3,-1,/,142.959914281
4,3,3,12,001100,0.000695396
5,3,3,236,0011101100,0.004019863
6,3,3,-1,/,0.04188416
7,3,3,-1,/,0.170377751
8,3,3,-1,/,0.683617912
9,3,3,-1,/,2.622741344
10,3,3,-1,/,10.139901904
11,3,3,-1,/,38.120833431
12,3,3,-1,/,144.525919596
4,3,3,12,001100,0.000706036
5,3,3,236,0011101100,0.003948166
6,3,3,-1,/,0.041533049
7,3,3,-1,/,0.170445281
8,3,3,-1,/,0.677570481
9,3,3,-1,/,2.642821478
10,3,3,-1,/,10.11676765
11,3,3,-1,/,38.563739922
12,3,3,-1,/,143.808244848
4,3,3,12,001100,0.000713907
5,3,3,236,0011101100,0.003940545
6,3,3,-1,/,0.042270334
7,3,3,-1,/,0.17126841
8,3,3,-1,/,0.682686462
9,3,3,-1,/,2.659303991
10,3,3,-1,/,10.099035035
11,3,3,-1,/,38.666686025
12,3,3,-1,/,143.338453941
4,3,3,12,001100,0.000706423
5,3,3,236,0011101100,0.004022753
6,3,3,-1,/,0.042172205
7,3,3,-1,/,0.170382074
8,3,3,-1,/,0.67427859
9,3,3,-1,/,2.630187785
10,3,3,-1,/,10.168451402
11,3,3,-1,/,38.434573147
12,3,3,-1,/,144.235279291
