Graph Order,Clique Order,ISet Order,Graph ID,Graph Bitstring,Duration (s)
4,3,3,12,001100,0.000705823
5,3,3,236,0011101100,0.003943366
6,3,3,-1,/,0.041832834
7,3,3,-1,/,0.173033306
8,3,3,-1,/,0.6849492
4,3,3,12,001100,0.000695666
5,3,3,236,0011101100,0.004002384
6,3,3,-1,/,0.041570095
7,3,3,-1,/,0.172710939
8,3,3,-1,/,0.677544853
4,3,3,12,001100,0.000697843
5,3,3,236,0011101100,0.004029644
6,3,3,-1,/,0.041824582
7,3,3,-1,/,0.171895333
8,3,3,-1,/,0.683503843
4,3,3,12,001100,0.000704064
5,3,3,236,0011101100,0.003980803
6,3,3,-1,/,0.041981588
7,3,3,-1,/,0.171988189
8,3,3,-1,/,0.67828805
4,3,3,12,001100,0.000698543
5,3,3,236,0011101100,0.003951497
6,3,3,-1,/,0.042247341
7,3,3,-1,/,0.172411585
8,3,3,-1,/,0.677299493
4,3,3,12,001100,0.000694006
5,3,3,236,0011101100,0.00397386
6,3,3,-1,/,0.041797034
7,3,3,-1,/,0.171881906
8,3,3,-1,/,0.689261967
4,3,3,12,001100,0.000702573
5,3,3,236,0011101100,0.003947279
6,3,3,-1,/,0.042620327
7,3,3,-1,/,0.174359477
8,3,3,-1,/,0.675130386
4,3,3,12,001100,0.00070999
5,3,3,236,0011101100,0.003935533
6,3,3,-1,/,0.042737986
7,3,3,-1,/,0.173745063
8,3,3,-1,/,0.675575654
4,3,3,12,001100,0.00071035
5,3,3,236,0011101100,0.003945909
6,3,3,-1,/,0.041605447
7,3,3,-1,/,0.172216645
8,3,3,-1,/,0.688316247
9,3,3,-1,/,2.651263445
10,3,3,-1,/,10.118661534
4,3,3,12,001100,0.00070354
5,3,3,236,0011101100,0.003961972
6,3,3,-1,/,0.041672401
7,3,3,-1,/,0.173533246
8,3,3,-1,/,0.677173909
9,3,3,-1,/,2.618200041
10,3,3,-1,/,10.32603754
11,3,3,-1,/,38.327898117
12,3,3,-1,/,143.531046502
4,3,3,12,001100,0.00069927
5,3,3,236,0011101100,0.004057758
6,3,3,-1,/,0.043396808
7,3,3,-1,/,0.170143218
8,3,3,-1,/,0.675290092
9,3,3,-1,/,2.626246132
10,3,3,-1,/,10.183130278
11,3,3,-1,/,38.379112823
12,3,3,-1,/,143.022206708
4,3,3,12,001100,0.000692194
5,3,3,236,0011101100,0.003942558
6,3,3,-1,/,0.041795747
7,3,3,-1,/,0.174516332
8,3,3,-1,/,0.673178882
9,3,3,-1,/,2.646091096
10,3,3,-1,/,10.115172181
11,3,3,-1,/,38.311730305
12,3,3,-1,/,143.692945525
4,3,3,12,001100,0.000700623
5,3,3,236,0011101100,0.003949582
6,3,3,-1,/,0.041559061
7,3,3,-1,/,0.1711382
8,3,3,-1,/,0.676513921
9,3,3,-1,/,2.62550861
10,3,3,-1,/,10.197248866
11,3,3,-1,/,38.399560482
12,3,3,-1,/,144.254295497
4,3,3,12,001100,0.000709513
5,3,3,236,0011101100,0.003952438
6,3,3,-1,/,0.041574425
7,3,3,-1,/,0.170065165
8,3,3,-1,/,0.678271721
9,3,3,-1,/,2.634206196
10,3,3,-1,/,10.122876158
11,3,3,-1,/,38.458208993
12,3,3,-1,/,143.254625671
4,3,3,12,001100,0.00069899
5,3,3,236,0011101100,0.003949002
6,3,3,-1,/,0.04154154
7,3,3,-1,/,0.171219315
8,3,3,-1,/,0.676940218
9,3,3,-1,/,2.630694547
10,3,3,-1,/,10.115051542
11,3,3,-1,/,38.70496445
12,3,3,-1,/,144.708508081
4,3,3,12,001100,0.00070561
5,3,3,236,0011101100,0.003988106
6,3,3,-1,/,0.041562607
7,3,3,-1,/,0.171157387
8,3,3,-1,/,0.674702825
9,3,3,-1,/,2.624199749
10,3,3,-1,/,10.140484355
11,3,3,-1,/,38.638927588
12,3,3,-1,/,143.396279149
4,3,3,12,001100,0.000706311
5,3,3,236,0011101100,0.003950779
6,3,3,-1,/,0.041610732
7,3,3,-1,/,0.1707924
8,3,3,-1,/,0.677892667
9,3,3,-1,/,2.649024749
10,3,3,-1,/,10.128977268
11,3,3,-1,/,38.326258742
12,3,3,-1,/,143.776326527
4,3,3,12,001100,0.00069537
5,3,3,236,0011101100,0.003936655
6,3,3,-1,/,0.041532232
7,3,3,-1,/,0.171525733
8,3,3,-1,/,0.672866688
9,3,3,-1,/,2.624469103
10,3,3,-1,/,10.119434942
11,3,3,-1,/,38.211158156
12,3,3,-1,/,144.617734882
4,3,3,12,001100,0.00070329
5,3,3,236,0011101100,0.00399905
6,3,3,-1,/,0.041553555
7,3,3,-1,/,0.17021877
8,3,3,-1,/,0.678081561
9,3,3,-1,/,2.631713736
10,3,3,-1,/,10.089431848
11,3,3,-1,/,38.089121851
12,3,3,-1,/,144.112331746
4,3,3,12,001100,0.00069829
5,3,3,236,0011101100,0.003929008
